,Method,Coarsen,Privacy,Data,Round,Client Number,Loss,Accuracy
0,AllData,False,False,Train,0,0,1.01193,0.872
1,AllData,False,True,Train,0,0,0.52443,0.832
2,AllData,True,False,Train,0,0,0.28134,0.928
3,AllData,True,True,Train,0,0,0.84456,0.752
