,Method,Coarsen,Priv,Data,Round,Client Number,Loss,Accuracy
0,FL,False,False,Test,0,0,0.7767,0.57229
1,FL,False,False,Test,0,1,0.8661,0.50732
2,FL,False,False,Test,1,1,0.75874,0.61951
3,FL,False,False,Test,1,0,0.73507,0.64458
4,FL,False,False,Test,2,1,0.71074,0.64878
5,FL,False,False,Test,2,0,0.64891,0.64458
6,FL,False,False,Test,3,1,0.71452,0.6439
7,FL,False,False,Test,3,0,0.66821,0.66265
8,FL,False,False,Test,4,1,0.70396,0.70244
9,FL,False,False,Test,4,0,0.66312,0.72892
10,FL,False,False,Test,5,1,0.72015,0.64878
11,FL,False,False,Test,5,0,0.69478,0.69277
12,FL,False,False,Test,6,1,0.73808,0.62927
13,FL,False,False,Test,6,0,0.71682,0.65663
14,FL,False,False,Test,7,0,0.73598,0.6506
15,FL,False,False,Test,7,1,0.75261,0.61463
16,FL,False,False,Test,8,1,0.82785,0.58537
17,FL,False,False,Test,8,0,0.91142,0.62651
